date,open,close,high,low,volume,amount,pct_change
2023-05-22,6589.35,6595.98,6608.88,6556.74,131198543,163204580648.00,-0.10
2023-05-23,6591.56,6528.45,6600.80,6528.45,128595517,158376852884.40,-1.02
2023-05-24,6507.06,6513.18,6564.51,6476.69,125855093,163476977070.10,-0.23
2023-05-25,6502.23,6501.00,6541.39,6424.45,135834643,175437754998.30,-0.19
2023-05-26,6495.35,6546.41,6558.11,6451.73,126275617,170164842111.00,0.70
2023-05-29,6560.16,6534.12,6579.15,6518.03,152482657,204321522052.10,-0.19
2023-05-30,6517.71,6564.47,6565.48,6461.09,151317651,193152158102.50,0.46
2023-05-31,6556.52,6561.65,6581.93,6523.27,142968364,197141081474.90,-0.04
2023-06-01,6539.26,6574.76,6616.53,6515.02,153962339,208776080194.40,0.20
2023-06-02,6585.73,6626.28,6640.53,6585.73,149263604,198301484192.20,0.78
2023-06-05,6631.22,6632.96,6647.20,6609.02,137150594,186650947904.20,0.10
2023-06-06,6625.09,6489.81,6625.09,6475.26,151757959,198453126088.90,-2.16
2023-06-07,6487.20,6488.56,6517.32,6467.30,131404709,169239132087.30,-0.02
2023-06-08,6477.94,6442.48,6478.32,6399.78,135583070,172327155118.50,-0.71
2023-06-09,6446.62,6495.56,6500.45,6427.92,151977579,202023488654.40,0.82
2023-06-12,6488.20,6530.16,6549.78,6474.86,145153220,197419702843.10,0.53
2023-06-13,6525.05,6554.96,6561.02,6519.97,145636301,206066233138.30,0.38
2023-06-14,6556.03,6578.12,6591.69,6547.49,149195931,212483094306.00,0.35
2023-06-15,6579.46,6613.95,6618.62,6568.61,147955427,220050814755.80,0.54
2023-06-16,6613.10,6669.01,6674.62,6602.04,155708689,223131327342.60,0.83
2023-06-19,6674.12,6693.30,6707.23,6673.81,168025755,246819992645.00,0.36
2023-06-20,6683.92,6693.91,6717.71,6671.99,158860653,240661461466.90,0.01
2023-06-21,6679.15,6548.41,6681.57,6548.41,153983944,226296807530.60,-2.17
2023-06-26,6504.97,6420.97,6535.49,6404.04,154732688,209607215406.00,-1.95
2023-06-27,6425.84,6507.27,6518.98,6424.33,135607119,178812817549.40,1.34
2023-06-28,6504.50,6475.51,6505.47,6367.35,145808385,192407496661.60,-0.49
2023-06-29,6465.10,6520.04,6542.28,6462.07,135252145,186518747502.90,0.69
2023-06-30,6507.50,6602.04,6615.97,6500.86,144498924,203403995419.00,1.26
2023-07-03,6617.08,6612.88,6640.34,6571.84,160977356,225625497659.90,0.16
2023-07-04,6610.66,6638.45,6639.82,6599.60,139742795,203584274308.70,0.39
2023-07-05,6632.37,6584.42,6642.55,6575.73,133052280,184778773163.20,-0.81
2023-07-06,6573.58,6567.08,6619.29,6558.89,124077268,173721970871.40,-0.26
2023-07-07,6553.56,6521.43,6558.11,6486.11,123599541,164996211438.80,-0.70
2023-07-10,6539.08,6526.85,6556.15,6501.75,120450936,158540731784.70,0.08
2023-07-11,6531.63,6579.37,6579.37,6514.99,119603644,163273435604.70,0.80
